@RELATION rls_datatest

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{normal_breath,strong_breath,deep_breath}

@DATA
-795.147705078,76.1835708618,27.8063011169,4.81944513321,-2.04798984528,2.49460291862,-1.29433238506,-3.86180114746,-4.28468084335,-4.73055839539,-3.57810997963,-4.55513763428,-6.72024345398,47.7131462097,47.7131462097,47.7131462097,47.7131462097,47.7131462097,-7.27564144135,-2.75029110909,-0.992156147957,-0.754575967789,-0.754575967789,-0.754575967789,-0.754575967789,-0.754575967789,-47.9942207336,-47.9942207336,-47.9942207336,-47.9942207336,-47.9942207336,4.68528747559,1.68571865559,0.341958463192,0.023396005854,0.023396005854,0.023396005854,0.023396005854,0.023396005854,53.871257782,24.9503040314,16.771818161,13.7031879425,11.2376174927,14.9587364197,9.83377456665,10.2767105103,9.07391357422,8.85908508301,8.51210212708,8.69880199432,8.13278961182,4.87798452377,4.87798452377,4.87798452377,4.87798452377,4.87798452377,2.85736012459,2.20842790604,1.95546782017,1.85900461674,1.85900461674,1.85900461674,1.85900461674,1.85900461674,2.8340318203,2.8340318203,2.8340318203,2.8340318203,2.8340318203,1.57733035088,1.23302853107,1.16972267628,1.05180585384,1.05180585384,1.05180585384,1.05180585384,1.05180585384,normal_breath
-790.434143066,79.6313858032,29.3741760254,5.70080757141,-1.65953695774,3.63487243652,-1.02535629272,-3.06242918968,-3.73768258095,-4.58623600006,-3.47290682793,-4.39840507507,-7.11429834366,47.2639656067,47.2639656067,47.2639656067,47.2639656067,47.2639656067,-7.55164194107,-2.8850505352,-1.08319175243,-0.872296452522,-0.872296452522,-0.872296452522,-0.872296452522,-0.872296452522,-47.7340545654,-47.7340545654,-47.7340545654,-47.7340545654,-47.7340545654,4.83237934113,1.70344352722,0.325478971004,-0.0221754368395,-0.0221754368395,-0.0221754368395,-0.0221754368395,-0.0221754368395,54.6051330566,23.2422809601,16.5793514252,13.4976034164,11.5524539948,15.3405036926,10.1526079178,10.6401672363,9.30275726318,8.97806549072,8.92940330505,8.83157920837,8.06265068054,4.79781675339,4.79781675339,4.79781675339,4.79781675339,4.79781675339,2.71675491333,2.18858528137,1.95912623405,1.89839076996,1.89839076996,1.89839076996,1.89839076996,1.89839076996,2.83619403839,2.83619403839,2.83619403839,2.83619403839,2.83619403839,1.44982910156,1.2356647253,1.18216776848,1.06558489799,1.06558489799,1.06558489799,1.06558489799,1.06558489799,normal_breath
-786.564453125,83.3741760254,31.242307663,7.19430351257,-0.638920843601,4.26851987839,-0.556303203106,-2.12640619278,-3.62703847885,-4.46195077896,-3.32867217064,-4.31152820587,-7.17656993866,46.812084198,46.812084198,46.812084198,46.812084198,46.812084198,-7.90852499008,-3.09373044968,-1.24373781681,-0.996183693409,-0.996183693409,-0.996183693409,-0.996183693409,-0.996183693409,-47.5848617554,-47.5848617554,-47.5848617554,-47.5848617554,-47.5848617554,4.9724149704,1.75226461887,0.363932698965,-0.00760210771114,-0.00760210771114,-0.00760210771114,-0.00760210771114,-0.00760210771114,54.8191490173,21.3496303558,15.4220333099,13.54479599,12.4524364471,15.56270504,10.5040435791,11.1817178726,9.30587005615,9.14353466034,8.88169670105,8.82723236084,8.07424736023,4.64790439606,4.64790439606,4.64790439606,4.64790439606,4.64790439606,2.4484295845,2.08307385445,1.96617305279,1.93359005451,1.93359005451,1.93359005451,1.93359005451,1.93359005451,2.81934070587,2.81934070587,2.81934070587,2.81934070587,2.81934070587,1.30299437046,1.1704801321,1.17724180222,1.05659389496,1.05659389496,1.05659389496,1.05659389496,1.05659389496,normal_breath
-783.914733887,84.6440505981,32.0851516724,7.74312973022,0.227242052555,4.98913764954,0.0218584164977,-1.427277565,-2.90602445602,-4.5273399353,-3.47451305389,-4.48816204071,-7.13437795639,46.6490135193,46.6490135193,46.6490135193,46.6490135193,46.6490135193,-8.00342464447,-3.19554924965,-1.3665214777,-1.13285303116,-1.13285303116,-1.13285303116,-1.13285303116,-1.13285303116,-47.4595451355,-47.4595451355,-47.4595451355,-47.4595451355,-47.4595451355,4.96315670013,1.69707751274,0.307987511158,-0.00632636621594,-0.00632636621594,-0.00632636621594,-0.00632636621594,-0.00632636621594,54.0458908081,20.7137966156,15.4319992065,13.9095726013,12.804397583,15.6815519333,10.7559185028,11.564866066,9.75301837921,9.12391281128,8.75116348267,8.72788524628,8.14467811584,4.56218671799,4.56218671799,4.56218671799,4.56218671799,4.56218671799,2.39885020256,2.06063866615,1.98407256603,1.9365452528,1.9365452528,1.9365452528,1.9365452528,1.9365452528,2.74702119827,2.74702119827,2.74702119827,2.74702119827,2.74702119827,1.29862964153,1.17298436165,1.16319465637,1.07944214344,1.07944214344,1.07944214344,1.07944214344,1.07944214344,normal_breath
-781.331054688,85.8144760132,33.3059616089,9.05880641937,1.45722138882,5.93301773071,0.419223606586,-1.40070855618,-2.69849777222,-3.8027920723,-3.03553533554,-4.23525476456,-7.26126289368,46.3997802734,46.3997802734,46.3997802734,46.3997802734,46.3997802734,-8.14066028595,-3.32659888268,-1.48739743233,-1.24483942986,-1.24483942986,-1.24483942986,-1.24483942986,-1.24483942986,-47.4366569519,-47.4366569519,-47.4366569519,-47.4366569519,-47.4366569519,4.97566080093,1.75078058243,0.376041769981,0.0275565050542,0.0275565050542,0.0275565050542,0.0275565050542,0.0275565050542,52.4455451965,19.9805698395,15.0884914398,14.1294698715,12.8792552948,14.9977016449,10.7449512482,11.7380504608,9.88722515106,9.19023895264,8.75178337097,8.93001174927,8.13669967651,4.40128612518,4.40128612518,4.40128612518,4.40128612518,4.40128612518,2.34713578224,2.03880023956,1.95975637436,1.86124360561,1.86124360561,1.86124360561,1.86124360561,1.86124360561,2.7323539257,2.7323539257,2.7323539257,2.7323539257,2.7323539257,1.27554142475,1.18294668198,1.22647094727,1.09358787537,1.09358787537,1.09358787537,1.09358787537,1.09358787537,normal_breath
-780.808349609,86.0518112183,33.6881828308,9.82563400269,2.05621981621,5.97302246094,0.479899078608,-1.2809458971,-2.19080686569,-3.78717470169,-3.07108736038,-4.23121929169,-7.00429677963,46.3700675964,46.3700675964,46.3700675964,46.3700675964,46.3700675964,-8.17970752716,-3.39372587204,-1.56334042549,-1.27438318729,-1.27438318729,-1.27438318729,-1.27438318729,-1.27438318729,-47.4320983887,-47.4320983887,-47.4320983887,-47.4320983887,-47.4320983887,4.96311664581,1.75597727299,0.404236108065,0.0527058131993,0.0527058131993,0.0527058131993,0.0527058131993,0.0527058131993,51.9379577637,19.7929916382,14.9201593399,14.2572469711,13.0035886765,15.1283607483,10.6619939804,11.6696224213,9.88000011444,9.25909805298,8.7479801178,8.86635112762,8.28290748596,4.36923360825,4.36923360825,4.36923360825,4.36923360825,4.36923360825,2.33776259422,2.03910589218,1.95920085907,1.85809993744,1.85809993744,1.85809993744,1.85809993744,1.85809993744,2.7401406765,2.7401406765,2.7401406765,2.7401406765,2.7401406765,1.30302774906,1.18701136112,1.23332738876,1.1198502779,1.1198502779,1.1198502779,1.1198502779,1.1198502779,normal_breath
-781.422729492,85.7208480835,33.7919807434,10.2591266632,2.81899476051,6.27581214905,0.465392231941,-1.89062106609,-2.17509245872,-3.29079270363,-2.53695416451,-3.7979414463,-6.37943124771,46.3920288086,46.3920288086,46.3920288086,46.3920288086,46.3920288086,-8.17668247223,-3.40200233459,-1.56782984734,-1.2403305769,-1.2403305769,-1.2403305769,-1.2403305769,-1.2403305769,-47.54429245,-47.54429245,-47.54429245,-47.54429245,-47.54429245,4.93736124039,1.80716860294,0.488927781582,0.142448544502,0.142448544502,0.142448544502,0.142448544502,0.142448544502,52.5529174805,19.9454517365,14.8442296982,14.2200088501,12.6775045395,14.8469161987,10.7736997604,11.7274847031,9.5889749527,9.24748420715,8.77430534363,9.12093925476,8.57271003723,4.38799762726,4.38799762726,4.38799762726,4.38799762726,4.38799762726,2.33438491821,2.02924823761,1.95632719994,1.89876294136,1.89876294136,1.89876294136,1.89876294136,1.89876294136,2.83023118973,2.83023118973,2.83023118973,2.83023118973,2.83023118973,1.29964518547,1.18579185009,1.25640511513,1.08913779259,1.08913779259,1.08913779259,1.08913779259,1.08913779259,normal_breath
-780.163391113,85.37865448,34.406829834,11.4838066101,3.79162168503,7.34500980377,1.03343617916,-1.45414698124,-2.06387162209,-3.00514435768,-2.38878846169,-3.6010518074,-6.41886758804,46.3502464294,46.3502464294,46.3502464294,46.3502464294,46.3502464294,-8.19302368164,-3.51932382584,-1.71130406857,-1.36792695522,-1.36792695522,-1.36792695522,-1.36792695522,-1.36792695522,-47.6067886353,-47.6067886353,-47.6067886353,-47.6067886353,-47.6067886353,4.81319236755,1.77753317356,0.524714887142,0.174400344491,0.174400344491,0.174400344491,0.174400344491,0.174400344491,51.9078025818,20.2545814514,14.5127258301,13.8684053421,12.4163217545,14.2550487518,10.5430412292,11.6431722641,9.65409946442,9.26463222504,9.18722343445,9.03592681885,8.93227577209,4.37260437012,4.37260437012,4.37260437012,4.37260437012,4.37260437012,2.32659292221,1.98513650894,1.91611230373,1.8462177515,1.8462177515,1.8462177515,1.8462177515,1.8462177515,2.85739946365,2.85739946365,2.85739946365,2.85739946365,2.85739946365,1.34832584858,1.2362139225,1.2724801302,1.14146101475,1.14146101475,1.14146101475,1.14146101475,1.14146101475,normal_breath
-778.848754883,84.4801940918,34.0161018372,12.0988330841,4.25224208832,7.68591547012,0.940829396248,-1.34197282791,-2.24047660828,-3.35974216461,-2.37357497215,-3.62125873566,-5.98006153107,46.3067245483,46.3067245483,46.3067245483,46.3067245483,46.3067245483,-8.17204284668,-3.56579518318,-1.80050671101,-1.3916220665,-1.3916220665,-1.3916220665,-1.3916220665,-1.3916220665,-47.5964889526,-47.5964889526,-47.5964889526,-47.5964889526,-47.5964889526,4.68776416779,1.74113965034,0.573261260986,0.251675873995,0.251675873995,0.251675873995,0.251675873995,0.251675873995,51.5778617859,21.1373786926,14.7120542526,13.5778074265,12.2055921555,13.9806652069,10.6126232147,11.7481737137,9.41717433929,8.94371318817,9.07434940338,8.97573471069,9.05698490143,4.35369634628,4.35369634628,4.35369634628,4.35369634628,4.35369634628,2.32905459404,1.94247674942,1.8679265976,1.8324432373,1.8324432373,1.8324432373,1.8324432373,1.8324432373,2.85311150551,2.85311150551,2.85311150551,2.85311150551,2.85311150551,1.38723301888,1.23637032509,1.24783623219,1.08097970486,1.08097970486,1.08097970486,1.08097970486,1.08097970486,normal_breath
-780.526855469,84.0684661865,34.2388877869,13.1914491653,4.92695951462,7.71005105972,0.639053165913,-1.41085779667,-2.33135914803,-3.66342544556,-2.87516450882,-3.67991304398,-5.63967895508,46.3943748474,46.3943748474,46.3943748474,46.3943748474,46.3943748474,-8.23551559448,-3.71097254753,-1.94348585606,-1.42862403393,-1.42862403393,-1.42862403393,-1.42862403393,-1.42862403393,-47.7799072266,-47.7799072266,-47.7799072266,-47.7799072266,-47.7799072266,4.61391115189,1.74079704285,0.660820126534,0.344228625298,0.344228625298,0.344228625298,0.344228625298,0.344228625298,52.9887733459,21.5036048889,14.4680900574,12.4680643082,12.0386381149,13.9552707672,10.4563446045,11.6740283966,9.50918197632,8.90761852264,8.65982055664,8.84500217438,9.07189369202,4.44377756119,4.44377756119,4.44377756119,4.44377756119,4.44377756119,2.27652812004,1.81075775623,1.73516845703,1.8129389286,1.8129389286,1.8129389286,1.8129389286,1.8129389286,2.96908950806,2.96908950806,2.96908950806,2.96908950806,2.96908950806,1.41849219799,1.21595215797,1.22752654552,1.09460639954,1.09460639954,1.09460639954,1.09460639954,1.09460639954,normal_breath
