@RELATION non_filter_datatest

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{normal_breath,strong_breath,deep_breath}

@DATA
-783.880981445,41.8255081177,62.697013855,-24.1809310913,24.49659729,-21.7879581451,22.1483631134,-23.3818016052,11.6528549194,-19.496837616,7.84097480774,-12.2379283905,0.659053683281,48.4634780884,48.4634780884,48.4634780884,48.4634780884,48.4634780884,-6.65286397934,-3.87755274773,-0.135135293007,-1.5238314867,-1.5238314867,-1.5238314867,-1.5238314867,-1.5238314867,-47.3604049683,-47.3604049683,-47.3604049683,-47.3604049683,-47.3604049683,2.53019165993,3.69056677818,-1.23392105103,1.5630787611,1.5630787611,1.5630787611,1.5630787611,1.5630787611,43.0963897705,28.153427124,19.1115398407,14.6926183701,10.1942939758,17.0478782654,9.28085041046,10.0288896561,8.19616985321,8.32493782043,8.55298995972,8.06292724609,7.84900283813,4.54849767685,4.54849767685,4.54849767685,4.54849767685,4.54849767685,3.32022929192,2.48968410492,2.00948405266,1.77355492115,1.77355492115,1.77355492115,1.77355492115,1.77355492115,2.10206699371,2.10206699371,2.10206699371,2.10206699371,2.10206699371,1.5541921854,1.36339843273,1.22449421883,1.01498544216,1.01498544216,1.01498544216,1.01498544216,1.01498544216,normal_breath
-779.886169434,45.443069458,64.5519180298,-23.3443813324,24.9936523438,-20.3962249756,22.584815979,-22.8063011169,11.8978157043,-19.325056076,8.19820022583,-12.0302762985,0.503161072731,48.0233650208,48.0233650208,48.0233650208,48.0233650208,48.0233650208,-6.97279167175,-4.03264379501,-0.227910086513,-1.63593542576,-1.63593542576,-1.63593542576,-1.63593542576,-1.63593542576,-47.1831130981,-47.1831130981,-47.1831130981,-47.1831130981,-47.1831130981,2.67261624336,3.73578286171,-1.23475313187,1.55614340305,1.55614340305,1.55614340305,1.55614340305,1.55614340305,43.3428077698,27.1307487488,18.3640804291,14.5966091156,10.5036916733,17.953130722,9.6975030899,10.322558403,8.11868572235,8.55354499817,8.91298294067,8.25017642975,8.00468254089,4.44297933578,4.44297933578,4.44297933578,4.44297933578,4.44297933578,3.16507434845,2.43071079254,1.99373340607,1.82496070862,1.82496070862,1.82496070862,1.82496070862,1.82496070862,2.08056807518,2.08056807518,2.08056807518,2.08056807518,2.08056807518,1.45916354656,1.32439434528,1.2188218832,1.03069829941,1.03069829941,1.03069829941,1.03069829941,1.03069829941,normal_breath
-776.53515625,49.1596221924,66.6795120239,-22.3675060272,26.0686168671,-19.5758934021,23.462978363,-21.7716503143,12.2720880508,-19.299779892,8.35284805298,-11.9302186966,0.382149100304,47.646572113,47.646572113,47.646572113,47.646572113,47.646572113,-7.3078956604,-4.23153686523,-0.367280095816,-1.79262089729,-1.79262089729,-1.79262089729,-1.79262089729,-1.79262089729,-47.0500640869,-47.0500640869,-47.0500640869,-47.0500640869,-47.0500640869,2.79508852959,3.75791549683,-1.25637245178,1.55481553078,1.55481553078,1.55481553078,1.55481553078,1.55481553078,43.3131790161,25.6205635071,17.1582450867,14.6926240921,11.5501508713,18.2591571808,10.459233284,11.1414890289,8.22663593292,8.53874111176,8.72188091278,8.12404346466,8.01336956024,4.29111862183,4.29111862183,4.29111862183,4.29111862183,4.29111862183,2.97524261475,2.3800778389,2.0256717205,1.91614770889,1.91614770889,1.91614770889,1.91614770889,1.91614770889,2.04267048836,2.04267048836,2.04267048836,2.04267048836,2.04267048836,1.30535173416,1.28926992416,1.23453307152,1.0260900259,1.0260900259,1.0260900259,1.0260900259,1.0260900259,normal_breath
-774.478515625,50.7692184448,67.2735748291,-21.4413013458,26.6759433746,-18.4002037048,23.9516010284,-21.0506000519,12.6808013916,-19.2089328766,8.15861415863,-11.9302358627,0.301167756319,47.4929275513,47.4929275513,47.4929275513,47.4929275513,47.4929275513,-7.42723035812,-4.34005594254,-0.506599366665,-1.93055891991,-1.93055891991,-1.93055891991,-1.93055891991,-1.93055891991,-46.9877166748,-46.9877166748,-46.9877166748,-46.9877166748,-46.9877166748,2.79359197617,3.68901753426,-1.28014552593,1.55186223984,1.55186223984,1.55186223984,1.55186223984,1.55186223984,42.7421951294,24.9483528137,16.9943580627,15.426571846,11.9953374863,18.4061985016,10.7321300507,11.5737943649,8.59053230286,8.45228099823,8.68634128571,8.23383235931,8.02750205994,4.20668840408,4.20668840408,4.20668840408,4.20668840408,4.20668840408,2.92257833481,2.36000490189,2.07100129128,1.94582056999,1.94582056999,1.94582056999,1.94582056999,1.94582056999,1.99261248112,1.99261248112,1.99261248112,1.99261248112,1.99261248112,1.30490469933,1.32930386066,1.26108849049,1.04886102676,1.04886102676,1.04886102676,1.04886102676,1.04886102676,normal_breath
-772.622497559,52.2148895264,68.1832962036,-20.0693321228,27.913684845,-17.4007854462,24.2914199829,-20.8947200775,12.7292261124,-18.9653091431,8.4832201004,-11.9818687439,0.23576323688,47.2827262878,47.2827262878,47.2827262878,47.2827262878,47.2827262878,-7.60593414307,-4.48918437958,-0.677212357521,-2.06903195381,-2.06903195381,-2.06903195381,-2.06903195381,-2.06903195381,-47.0105171204,-47.0105171204,-47.0105171204,-47.0105171204,-47.0105171204,2.78272128105,3.70881175995,-1.21901142597,1.60897135735,1.60897135735,1.60897135735,1.60897135735,1.60897135735,41.3610954285,24.1343460083,16.6427001953,15.6129074097,12.4673604965,18.0087223053,10.6211385727,11.5502672195,8.81073284149,8.63273239136,8.6228761673,8.15783500671,7.91777420044,4.07217693329,4.07217693329,4.07217693329,4.07217693329,4.07217693329,2.84420394897,2.34640526772,2.06548666954,1.86939108372,1.86939108372,1.86939108372,1.86939108372,1.86939108372,2.01142430305,2.01142430305,2.01142430305,2.01142430305,2.01142430305,1.29431009293,1.30690836906,1.27079129219,1.07706940174,1.07706940174,1.07706940174,1.07706940174,1.07706940174,normal_breath
-772.090759277,52.3517303467,68.5158615112,-19.2690887451,28.6657752991,-17.2357215881,24.3708534241,-20.8938369751,13.0846061707,-18.9771595001,8.55875873566,-11.8877601624,0.525018692017,47.2451324463,47.2451324463,47.2451324463,47.2451324463,47.2451324463,-7.65256166458,-4.56288337708,-0.759413421154,-2.10377693176,-2.10377693176,-2.10377693176,-2.10377693176,-2.10377693176,-47.0298500061,-47.0298500061,-47.0298500061,-47.0298500061,-47.0298500061,2.74910402298,3.71676874161,-1.17095959187,1.6583455801,1.6583455801,1.6583455801,1.6583455801,1.6583455801,40.8764038086,23.9976234436,16.5685272217,15.4844741821,12.8549356461,18.0919723511,10.5449304581,11.5677375793,8.96825695038,8.63209819794,8.72678565979,8.20855712891,8.17947864532,4.03715991974,4.03715991974,4.03715991974,4.03715991974,4.03715991974,2.81614422798,2.34058761597,2.04676580429,1.87480413914,1.87480413914,1.87480413914,1.87480413914,1.87480413914,2.05008339882,2.05008339882,2.05008339882,2.05008339882,2.05008339882,1.32216393948,1.31419885159,1.29217016697,1.11595273018,1.11595273018,1.11595273018,1.11595273018,1.11595273018,normal_breath
-772.60748291,52.0462722778,68.4852752686,-18.7397861481,29.3533496857,-16.8914661407,24.132522583,-21.3281478882,13.0413322449,-18.4202423096,9.07285118103,-11.3471193314,1.15477597713,47.2602615356,47.2602615356,47.2602615356,47.2602615356,47.2602615356,-7.64325714111,-4.56252813339,-0.756991744041,-2.05621099472,-2.05621099472,-2.05621099472,-2.05621099472,-2.05621099472,-47.1322593689,-47.1322593689,-47.1322593689,-47.1322593689,-47.1322593689,2.73014640808,3.76500463486,-1.07434892654,1.74417793751,1.74417793751,1.74417793751,1.74417793751,1.74417793751,41.4741592407,24.2153682709,16.5286159515,15.3476800919,12.6896114349,17.7895965576,10.6258125305,11.7593050003,8.69652938843,8.79764080048,8.85483551025,8.36282730103,8.3468952179,4.04286623001,4.04286623001,4.04286623001,4.04286623001,4.04286623001,2.81498932838,2.34119367599,2.04501914978,1.91444420815,1.91444420815,1.91444420815,1.91444420815,1.91444420815,2.1270442009,2.1270442009,2.1270442009,2.1270442009,2.1270442009,1.32705914974,1.32613694668,1.30864727497,1.08729171753,1.08729171753,1.08729171753,1.08729171753,1.08729171753,normal_breath
-771.655090332,51.9119758606,68.9849624634,-17.4778347015,30.2128238678,-15.8451519012,24.5859203339,-21.1411743164,13.182510376,-18.2087841034,9.24891281128,-11.2557344437,1.15840065479,47.2170906067,47.2170906067,47.2170906067,47.2170906067,47.2170906067,-7.68073177338,-4.67489337921,-0.902232706547,-2.1698513031,-2.1698513031,-2.1698513031,-2.1698513031,-2.1698513031,-47.2038230896,-47.2038230896,-47.2038230896,-47.2038230896,-47.2038230896,2.62583971024,3.74594736099,-1.02839076519,1.78205263615,1.78205263615,1.78205263615,1.78205263615,1.78205263615,41.0702857971,24.2687187195,16.2407455444,15.2167701721,12.5264463425,17.162147522,10.4198770523,11.7355623245,8.81779384613,8.91871452332,8.98782348633,8.39147281647,8.60028839111,4.02893352509,4.02893352509,4.02893352509,4.02893352509,4.02893352509,2.78777265549,2.29392790794,1.99360084534,1.84717094898,1.84717094898,1.84717094898,1.84717094898,1.84717094898,2.14912486076,2.14912486076,2.14912486076,2.14912486076,2.14912486076,1.34832394123,1.34209668636,1.32436382771,1.11689460278,1.11689460278,1.11689460278,1.11689460278,1.11689460278,normal_breath
-770.576477051,51.1906318665,68.4765853882,-16.6890907288,30.6287574768,-15.2393054962,24.1514034271,-21.0238552094,12.8029737473,-18.2123184204,9.20034885406,-11.2692470551,1.38080430031,47.1612243652,47.1612243652,47.1612243652,47.1612243652,47.1612243652,-7.66299343109,-4.71851110458,-0.998337626457,-2.20287036896,-2.20287036896,-2.20287036896,-2.20287036896,-2.20287036896,-47.2235832214,-47.2235832214,-47.2235832214,-47.2235832214,-47.2235832214,2.52722191811,3.71566200256,-0.96139472723,1.85032272339,1.85032272339,1.85032272339,1.85032272339,1.85032272339,40.7757759094,24.7532691956,16.7882423401,14.9620161057,12.2555103302,16.9322280884,10.7103567123,11.8189916611,8.69200897217,8.86326408386,8.98943424225,8.30442810059,8.87647914886,4.00934696198,4.00934696198,4.00934696198,4.00934696198,4.00934696198,2.79836440086,2.2665784359,1.95737469196,1.82953751087,1.82953751087,1.82953751087,1.82953751087,1.82953751087,2.145581007,2.145581007,2.145581007,2.145581007,2.145581007,1.3569457531,1.35804855824,1.2943598032,1.07564914227,1.07564914227,1.07564914227,1.07564914227,1.07564914227,normal_breath
-771.603637695,50.3224830627,68.9767303467,-15.6344194412,31.4737472534,-15.466919899,23.8936691284,-20.8919849396,12.7250986099,-18.412355423,8.80468559265,-11.1958398819,1.67497420311,47.2278785706,47.2278785706,47.2278785706,47.2278785706,47.2278785706,-7.69649219513,-4.86573839188,-1.12187159061,-2.2346701622,-2.2346701622,-2.2346701622,-2.2346701622,-2.2346701622,-47.3729324341,-47.3729324341,-47.3729324341,-47.3729324341,-47.3729324341,2.43658041954,3.7363409996,-0.872172057629,1.9342199564,1.9342199564,1.9342199564,1.9342199564,1.9342199564,41.7280654907,25.6894550323,16.3525848389,14.1067771912,11.9511547089,16.9592227936,10.7064027786,11.5697097778,8.66439533234,8.84241962433,8.46024513245,8.13397598267,8.83482074738,4.07365274429,4.07365274429,4.07365274429,4.07365274429,4.07365274429,2.79785346985,2.13906788826,1.85576152802,1.80620229244,1.80620229244,1.80620229244,1.80620229244,1.80620229244,2.2354722023,2.2354722023,2.2354722023,2.2354722023,2.2354722023,1.41097486019,1.33888697624,1.27901506424,1.07470047474,1.07470047474,1.07470047474,1.07470047474,1.07470047474,normal_breath
