@RELATION kalman_datatest

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{normal_breath,strong_breath,deep_breath}

@DATA
-845.784545898,168.594207764,63.6066627502,46.5278701782,33.1672172546,40.9334030151,34.4854927063,30.3475971222,26.397693634,24.6820487976,24.0028839111,22.5200271606,16.9302711487,50.1692085266,50.1692085266,50.1692085266,50.1692085266,50.1692085266,-11.9719610214,-4.1346244812,-2.73524808884,-2.44697785378,-2.44697785378,-2.44697785378,-2.44697785378,-2.44697785378,-52.9981803894,-52.9981803894,-52.9981803894,-52.9981803894,-52.9981803894,7.48484230042,1.24140810966,0.360696673393,-0.182817280293,-0.182817280293,-0.182817280293,-0.182817280293,-0.182817280293,45.0429000854,17.8840770721,12.3833446503,10.0050802231,9.36336803436,9.73482322693,10.4461965561,9.98371315002,10.733956337,11.8862028122,11.0541124344,9.41138076782,10.6895227432,4.69678926468,4.69678926468,4.69678926468,4.69678926468,4.69678926468,2.90522742271,2.1954100132,1.60655355453,1.49244260788,1.49244260788,1.49244260788,1.49244260788,1.49244260788,2.78197956085,2.78197956085,2.78197956085,2.78197956085,2.78197956085,1.58462405205,1.3536683321,1.25487458706,1.03802490234,1.03802490234,1.03802490234,1.03802490234,1.03802490234,normal_breath
-842.654602051,171.118026733,64.3452987671,46.2507896423,32.5490379333,41.2092056274,33.8063697815,29.8572559357,25.6747894287,24.0264511108,23.44764328,22.0945987701,15.9906396866,49.7235946655,49.7235946655,49.7235946655,49.7235946655,49.7235946655,-12.265124321,-4.25606775284,-2.77376651764,-2.50209403038,-2.50209403038,-2.50209403038,-2.50209403038,-2.50209403038,-52.795715332,-52.795715332,-52.795715332,-52.795715332,-52.795715332,7.64739179611,1.29890739918,0.379734396935,-0.184661209583,-0.184661209583,-0.184661209583,-0.184661209583,-0.184661209583,45.3925247192,15.5342502594,12.0485115051,10.1922311783,9.05820941925,9.94091892242,10.2095108032,9.90554523468,10.7898921967,11.7646427155,10.9265813828,9.31471633911,11.0665798187,4.64619493484,4.64619493484,4.64619493484,4.64619493484,4.64619493484,2.74561047554,2.17874550819,1.61413526535,1.52918994427,1.52918994427,1.52918994427,1.52918994427,1.52918994427,2.76093149185,2.76093149185,2.76093149185,2.76093149185,2.76093149185,1.43693006039,1.31921124458,1.26206326485,1.04813086987,1.04813086987,1.04813086987,1.04813086987,1.04813086987,normal_breath
-840.175720215,173.449584961,65.0917434692,46.0613059998,32.3079109192,41.0102119446,33.5032043457,29.9983310699,24.935667038,23.2143993378,22.6790561676,21.4811191559,15.0931301117,49.3643798828,49.3643798828,49.3643798828,49.3643798828,49.3643798828,-12.5389928818,-4.39912986755,-2.85610675812,-2.59797549248,-2.59797549248,-2.59797549248,-2.59797549248,-2.59797549248,-52.6357727051,-52.6357727051,-52.6357727051,-52.6357727051,-52.6357727051,7.76907539368,1.31462037563,0.365525096655,-0.190735325217,-0.190735325217,-0.190735325217,-0.190735325217,-0.190735325217,45.1249465942,13.1835298538,11.3434038162,10.0141448975,8.90176296234,9.87997245789,9.72322845459,10.0382480621,10.6536626816,11.6240386963,10.7017202377,9.13715171814,10.822101593,4.47180461884,4.47180461884,4.47180461884,4.47180461884,4.47180461884,2.54094219208,2.12115478516,1.6149289608,1.58958590031,1.58958590031,1.58958590031,1.58958590031,1.58958590031,2.71647143364,2.71647143364,2.71647143364,2.71647143364,2.71647143364,1.26402378082,1.29231858253,1.26946139336,1.04321146011,1.04321146011,1.04321146011,1.04321146011,1.04321146011,normal_breath
-838.239318848,174.054916382,65.3807525635,45.859172821,32.4317741394,41.1862487793,33.5261535645,29.9484672546,24.9470596313,22.6170482635,22.0142688751,21.0167961121,14.6665887833,49.2007102966,49.2007102966,49.2007102966,49.2007102966,49.2007102966,-12.6296615601,-4.48999214172,-2.93899154663,-2.69873714447,-2.69873714447,-2.69873714447,-2.69873714447,-2.69873714447,-52.5190887451,-52.5190887451,-52.5190887451,-52.5190887451,-52.5190887451,7.76545190811,1.27175402641,0.325128436089,-0.17901109159,-0.17901109159,-0.17901109159,-0.17901109159,-0.17901109159,44.5638809204,12.6933259964,11.1507921219,10.0645971298,8.8608341217,9.95198249817,9.69001960754,9.98125648499,10.6862831116,11.4813280106,10.5936059952,9.08851909637,10.6924228668,4.39702415466,4.39702415466,4.39702415466,4.39702415466,4.39702415466,2.50229644775,2.09922456741,1.63488423824,1.59381961823,1.59381961823,1.59381961823,1.59381961823,1.59381961823,2.66958522797,2.66958522797,2.66958522797,2.66958522797,2.66958522797,1.25422930717,1.32438027859,1.28489732742,1.0640655756,1.0640655756,1.0640655756,1.0640655756,1.0640655756,normal_breath
-836.171325684,174.307723999,65.7213363647,46.3025436401,33.0150947571,41.5428886414,33.2554779053,29.5051383972,24.3586483002,22.3856296539,21.7584781647,20.5208187103,14.0512704849,48.9669914246,48.9669914246,48.9669914246,48.9669914246,48.9669914246,-12.7521800995,-4.61587953568,-3.06846857071,-2.81724977493,-2.81724977493,-2.81724977493,-2.81724977493,-2.81724977493,-52.4882011414,-52.4882011414,-52.4882011414,-52.4882011414,-52.4882011414,7.73604774475,1.29509902,0.375537842512,-0.123644188046,-0.123644188046,-0.123644188046,-0.123644188046,-0.123644188046,43.4843063354,12.6700077057,10.9270935059,10.3595266342,9.36065387726,9.77294254303,9.68629264832,9.9785451889,10.336771965,11.521946907,10.5490074158,8.89491081238,10.2710266113,4.26355695724,4.26355695724,4.26355695724,4.26355695724,4.26355695724,2.45798277855,2.09707403183,1.66976082325,1.54741132259,1.54741132259,1.54741132259,1.54741132259,1.54741132259,2.6560151577,2.6560151577,2.6560151577,2.6560151577,2.6560151577,1.27136075497,1.29695284367,1.2707337141,1.08859276772,1.08859276772,1.08859276772,1.08859276772,1.08859276772,normal_breath
-835.749450684,174.087768555,65.5970306396,46.9093971252,33.5837554932,41.4546661377,33.0568656921,29.213968277,24.4486560822,22.1399917603,21.548034668,20.4599056244,14.1481962204,48.9272537231,48.9272537231,48.9272537231,48.9272537231,48.9272537231,-12.7858982086,-4.68358421326,-3.15237784386,-2.84696769714,-2.84696769714,-2.84696769714,-2.84696769714,-2.84696769714,-52.5030288696,-52.5030288696,-52.5030288696,-52.5030288696,-52.5030288696,7.6920466423,1.29143738747,0.436433643103,-0.0626250803471,-0.0626250803471,-0.0626250803471,-0.0626250803471,-0.0626250803471,43.1055603027,12.9076795578,10.9708461761,10.8469800949,9.85014343262,10.1145143509,9.638256073,9.86531257629,10.3916110992,11.4072399139,10.5869102478,9.01755046844,10.3316144943,4.22405433655,4.22405433655,4.22405433655,4.22405433655,4.22405433655,2.44762468338,2.0928940773,1.67269074917,1.54806137085,1.54806137085,1.54806137085,1.54806137085,1.54806137085,2.68721199036,2.68721199036,2.68721199036,2.68721199036,2.68721199036,1.29318165779,1.2969148159,1.31595623493,1.13147127628,1.13147127628,1.13147127628,1.13147127628,1.13147127628,normal_breath
-836.434814453,173.694198608,65.5340194702,47.3159370422,34.1761512756,41.5327949524,32.7086830139,28.4846420288,24.346408844,22.49010849,22.0228996277,20.7384719849,14.6543960571,48.9343490601,48.9343490601,48.9343490601,48.9343490601,48.9343490601,-12.7918195724,-4.68716001511,-3.15362048149,-2.79726576805,-2.79726576805,-2.79726576805,-2.79726576805,-2.79726576805,-52.604133606,-52.604133606,-52.604133606,-52.604133606,-52.604133606,7.68012857437,1.35841166973,0.534857451916,0.0255469456315,0.0255469456315,0.0255469456315,0.0255469456315,0.0255469456315,43.7726135254,13.0576810837,10.9104747772,11.1104030609,9.86600017548,9.99975585938,9.63063335419,9.69791603088,10.0462722778,11.6273345947,10.9179239273,9.19262504578,10.6705389023,4.22161865234,4.22161865234,4.22161865234,4.22161865234,4.22161865234,2.43322086334,2.09173130989,1.66501617432,1.58913326263,1.58913326263,1.58913326263,1.58913326263,1.58913326263,2.76216435432,2.76216435432,2.76216435432,2.76216435432,2.76216435432,1.28789401054,1.30399656296,1.34386456013,1.08988904953,1.08988904953,1.08988904953,1.08988904953,1.08988904953,normal_breath
-835.838989258,172.778533936,65.6914596558,47.9809837341,34.6362113953,42.0590171814,32.7925033569,28.2928295135,24.0859279633,22.4522075653,21.9815254211,20.5641803741,14.3893451691,48.9086647034,48.9086647034,48.9086647034,48.9086647034,48.9086647034,-12.7890319824,-4.7715473175,-3.25919127464,-2.88224053383,-2.88224053383,-2.88224053383,-2.88224053383,-2.88224053383,-52.668510437,-52.668510437,-52.668510437,-52.668510437,-52.668510437,7.56979131699,1.35555827618,0.577293336391,0.0616918504238,0.0616918504238,0.0616918504238,0.0616918504238,0.0616918504238,43.4783782959,13.8760204315,10.9172954559,11.3322410583,10.020567894,9.7242937088,9.66011619568,9.77486896515,9.84927368164,11.6317110062,10.9916238785,9.10772323608,10.8178682327,4.21228694916,4.21228694916,4.21228694916,4.21228694916,4.21228694916,2.4376540184,2.05572485924,1.63159358501,1.55084836483,1.55084836483,1.55084836483,1.55084836483,1.55084836483,2.78525614738,2.78525614738,2.78525614738,2.78525614738,2.78525614738,1.31162393093,1.32630169392,1.35380101204,1.12487506866,1.12487506866,1.12487506866,1.12487506866,1.12487506866,normal_breath
-834.48236084,171.753097534,65.3797836304,48.5752487183,35.2065391541,42.4153709412,32.3400382996,28.1853904724,23.7844562531,22.1766815186,21.9523773193,20.4601764679,14.715045929,48.8353614807,48.8353614807,48.8353614807,48.8353614807,48.8353614807,-12.7789678574,-4.83299255371,-3.35426211357,-2.91025805473,-2.91025805473,-2.91025805473,-2.91025805473,-2.91025805473,-52.6681632996,-52.6681632996,-52.6681632996,-52.6681632996,-52.6681632996,7.45346307755,1.34550464153,0.646199524403,0.155301913619,0.155301913619,0.155301913619,0.155301913619,0.155301913619,43.3905181885,14.9563331604,11.1724300385,11.2470273972,9.99834537506,9.43931293488,9.56999588013,9.87273979187,9.52447795868,11.3776893616,11.0584526062,9.03748989105,11.0652561188,4.18988752365,4.18988752365,4.18988752365,4.18988752365,4.18988752365,2.44356632233,2.03452801704,1.59904956818,1.53934073448,1.53934073448,1.53934073448,1.53934073448,1.53934073448,2.78532791138,2.78532791138,2.78532791138,2.78532791138,2.78532791138,1.34417366982,1.33529663086,1.32095086575,1.08851087093,1.08851087093,1.08851087093,1.08851087093,1.08851087093,normal_breath
-835.913574219,171.355728149,65.6345367432,49.8033103943,35.9064483643,42.175113678,32.0404663086,28.2360897064,23.6501522064,21.9000988007,21.5719146729,20.3608360291,15.0106859207,48.9012794495,48.9012794495,48.9012794495,48.9012794495,48.9012794495,-12.8462734222,-4.97353076935,-3.49523067474,-2.93831586838,-2.93831586838,-2.93831586838,-2.93831586838,-2.93831586838,-52.8341751099,-52.8341751099,-52.8341751099,-52.8341751099,-52.8341751099,7.38796472549,1.3624509573,0.742165446281,0.236394733191,0.236394733191,0.236394733191,0.236394733191,0.236394733191,44.4022407532,15.2090654373,10.9783859253,10.7407226562,10.234079361,9.25952720642,9.27828788757,9.71623706818,9.64214801788,11.2825345993,10.5205774307,8.89985275269,11.236073494,4.24876642227,4.24876642227,4.24876642227,4.24876642227,4.24876642227,2.39393949509,1.91606426239,1.47969889641,1.52410423756,1.52410423756,1.52410423756,1.52410423756,1.52410423756,2.8785443306,2.8785443306,2.8785443306,2.8785443306,2.8785443306,1.37737131119,1.31795334816,1.30471992493,1.0867036581,1.0867036581,1.0867036581,1.0867036581,1.0867036581,normal_breath
