@RELATION lms_datatest

@ATTRIBUTE MEAN_MFCC1	REAL
@ATTRIBUTE MEAN_MFCC2	REAL
@ATTRIBUTE MEAN_MFCC3	REAL
@ATTRIBUTE MEAN_MFCC4	REAL
@ATTRIBUTE MEAN_MFCC5	REAL
@ATTRIBUTE MEAN_MFCC6	REAL
@ATTRIBUTE MEAN_MFCC7	REAL
@ATTRIBUTE MEAN_MFCC8	REAL
@ATTRIBUTE MEAN_MFCC9	REAL
@ATTRIBUTE MEAN_MFCC10	REAL
@ATTRIBUTE MEAN_MFCC11	REAL
@ATTRIBUTE MEAN_MFCC12	REAL
@ATTRIBUTE MEAN_MFCC13	REAL
@ATTRIBUTE MEAN_MFCCD1	REAL
@ATTRIBUTE MEAN_MFCCD2	REAL
@ATTRIBUTE MEAN_MFCCD3	REAL
@ATTRIBUTE MEAN_MFCCD4	REAL
@ATTRIBUTE MEAN_MFCCD5	REAL
@ATTRIBUTE MEAN_MFCCD6	REAL
@ATTRIBUTE MEAN_MFCCD7	REAL
@ATTRIBUTE MEAN_MFCCD8	REAL
@ATTRIBUTE MEAN_MFCCD9	REAL
@ATTRIBUTE MEAN_MFCCD10	REAL
@ATTRIBUTE MEAN_MFCCD11	REAL
@ATTRIBUTE MEAN_MFCCD12	REAL
@ATTRIBUTE MEAN_MFCCD13	REAL
@ATTRIBUTE MEAN_MFCCDD1	REAL
@ATTRIBUTE MEAN_MFCCDD2	REAL
@ATTRIBUTE MEAN_MFCCDD3	REAL
@ATTRIBUTE MEAN_MFCCDD4	REAL
@ATTRIBUTE MEAN_MFCCDD5	REAL
@ATTRIBUTE MEAN_MFCCDD6	REAL
@ATTRIBUTE MEAN_MFCCDD7	REAL
@ATTRIBUTE MEAN_MFCCDD8	REAL
@ATTRIBUTE MEAN_MFCCDD9	REAL
@ATTRIBUTE MEAN_MFCCDD10	REAL
@ATTRIBUTE MEAN_MFCCDD11	REAL
@ATTRIBUTE MEAN_MFCCDD12	REAL
@ATTRIBUTE MEAN_MFCCDD13	REAL
@ATTRIBUTE STD_MFCC1	REAL
@ATTRIBUTE STD_MFCC2	REAL
@ATTRIBUTE STD_MFCC3	REAL
@ATTRIBUTE STD_MFCC4	REAL
@ATTRIBUTE STD_MFCC5	REAL
@ATTRIBUTE STD_MFCC6	REAL
@ATTRIBUTE STD_MFCC7	REAL
@ATTRIBUTE STD_MFCC8	REAL
@ATTRIBUTE STD_MFCC9	REAL
@ATTRIBUTE STD_MFCC10	REAL
@ATTRIBUTE STD_MFCC11	REAL
@ATTRIBUTE STD_MFCC12	REAL
@ATTRIBUTE STD_MFCC13	REAL
@ATTRIBUTE STD_MFCCD1	REAL
@ATTRIBUTE STD_MFCCD2	REAL
@ATTRIBUTE STD_MFCCD3	REAL
@ATTRIBUTE STD_MFCCD4	REAL
@ATTRIBUTE STD_MFCCD5	REAL
@ATTRIBUTE STD_MFCCD6	REAL
@ATTRIBUTE STD_MFCCD7	REAL
@ATTRIBUTE STD_MFCCD8	REAL
@ATTRIBUTE STD_MFCCD9	REAL
@ATTRIBUTE STD_MFCCD10	REAL
@ATTRIBUTE STD_MFCCD11	REAL
@ATTRIBUTE STD_MFCCD12	REAL
@ATTRIBUTE STD_MFCCD13	REAL
@ATTRIBUTE STD_MFCCDD1	REAL
@ATTRIBUTE STD_MFCCDD2	REAL
@ATTRIBUTE STD_MFCCDD3	REAL
@ATTRIBUTE STD_MFCCDD4	REAL
@ATTRIBUTE STD_MFCCDD5	REAL
@ATTRIBUTE STD_MFCCDD6	REAL
@ATTRIBUTE STD_MFCCDD7	REAL
@ATTRIBUTE STD_MFCCDD8	REAL
@ATTRIBUTE STD_MFCCDD9	REAL
@ATTRIBUTE STD_MFCCDD10	REAL
@ATTRIBUTE STD_MFCCDD11	REAL
@ATTRIBUTE STD_MFCCDD12	REAL
@ATTRIBUTE STD_MFCCDD13	REAL
@ATTRIBUTE class 	{normal_breath,strong_breath,deep_breath}

@DATA
-826.193847656,40.3625564575,3.62510418892,-12.0609664917,-12.855931282,-3.74523901939,-4.35928249359,-7.58890390396,-6.55957269669,-5.50923156738,-4.38034439087,-3.23220419884,-5.91159057617,52.1171836853,52.1171836853,52.1171836853,52.1171836853,52.1171836853,-3.27667331696,-0.0602919235826,0.916892588139,0.522567152977,0.522567152977,0.522567152977,0.522567152977,0.522567152977,-48.8224945068,-48.8224945068,-48.8224945068,-48.8224945068,-48.8224945068,3.2037115097,0.629982709885,-0.297464042902,-0.325879007578,-0.325879007578,-0.325879007578,-0.325879007578,-0.325879007578,52.3366470337,24.2941913605,16.1891345978,12.2010202408,10.2772607803,14.3569469452,10.2000865936,10.0827989578,8.51609134674,8.06630325317,9.06310844421,8.19856834412,8.28972148895,4.74571418762,4.74571418762,4.74571418762,4.74571418762,4.74571418762,2.74545764923,2.12619185448,1.79362332821,1.79710245132,1.79710245132,1.79710245132,1.79710245132,1.79710245132,2.75771379471,2.75771379471,2.75771379471,2.75771379471,2.75771379471,1.5377767086,1.28619515896,1.26398134232,1.05599582195,1.05599582195,1.05599582195,1.05599582195,1.05599582195,normal_breath
-821.808288574,43.6487312317,5.0256652832,-11.5316143036,-12.5328397751,-2.51430678368,-3.9405708313,-6.87431335449,-6.23635673523,-5.18546819687,-4.26700973511,-2.92711520195,-6.05585193634,51.6967506409,51.6967506409,51.6967506409,51.6967506409,51.6967506409,-3.52026677132,-0.164988204837,0.859623193741,0.428425192833,0.428425192833,0.428425192833,0.428425192833,0.428425192833,-48.5867614746,-48.5867614746,-48.5867614746,-48.5867614746,-48.5867614746,3.34649085999,0.633753836155,-0.325435340405,-0.35318005085,-0.35318005085,-0.35318005085,-0.35318005085,-0.35318005085,53.4253196716,22.6255130768,15.7459840775,11.9391889572,10.3624801636,15.0041322708,10.480597496,10.0648899078,8.55192661285,8.11908817291,9.17419052124,8.42569828033,8.27527141571,4.71351671219,4.71351671219,4.71351671219,4.71351671219,4.71351671219,2.60899448395,2.09129667282,1.7883554697,1.83579981327,1.83579981327,1.83579981327,1.83579981327,1.83579981327,2.77314853668,2.77314853668,2.77314853668,2.77314853668,2.77314853668,1.41741895676,1.26217842102,1.26548099518,1.05698537827,1.05698537827,1.05698537827,1.05698537827,1.05698537827,normal_breath
-817.905151367,47.1870574951,6.90658807755,-10.6048440933,-11.8151378632,-1.72090435028,-3.42390966415,-6.2999253273,-6.02471160889,-4.92408657074,-4.20095300674,-2.68760251999,-6.16316747665,51.2547492981,51.2547492981,51.2547492981,51.2547492981,51.2547492981,-3.8372900486,-0.339767813683,0.758405685425,0.325492411852,0.325492411852,0.325492411852,0.325492411852,0.325492411852,-48.4109306335,-48.4109306335,-48.4109306335,-48.4109306335,-48.4109306335,3.50272011757,0.680966258049,-0.312805265188,-0.35054269433,-0.35054269433,-0.35054269433,-0.35054269433,-0.35054269433,53.6130943298,20.5418796539,14.7621440887,11.9092988968,11.1100311279,15.3507575989,10.9341421127,10.5977220535,8.62010383606,8.38058948517,9.14473342896,8.31013870239,8.35000419617,4.55199718475,4.55199718475,4.55199718475,4.55199718475,4.55199718475,2.36168646812,2.01721167564,1.78892481327,1.8698682785,1.8698682785,1.8698682785,1.8698682785,1.8698682785,2.74223184586,2.74223184586,2.74223184586,2.74223184586,2.74223184586,1.2215834856,1.20935034752,1.27381849289,1.06467831135,1.06467831135,1.06467831135,1.06467831135,1.06467831135,normal_breath
-815.515808105,48.2805633545,7.79597616196,-10.2840080261,-11.2162942886,-0.870185732841,-2.70311641693,-5.76734256744,-5.38768529892,-4.98028659821,-4.24494504929,-2.59731984138,-6.26618146896,51.113079071,51.113079071,51.113079071,51.113079071,51.113079071,-3.91746425629,-0.424874395132,0.679267048836,0.205373749137,0.205373749137,0.205373749137,0.205373749137,0.205373749137,-48.2998008728,-48.2998008728,-48.2998008728,-48.2998008728,-48.2998008728,3.48855042458,0.632707595825,-0.366258442402,-0.36306014657,-0.36306014657,-0.36306014657,-0.36306014657,-0.36306014657,52.9038848877,19.7297134399,14.4405908585,12.2492465973,11.2139997482,15.3479061127,11.008351326,10.8373537064,8.88657569885,8.26016998291,9.1473941803,8.46143341064,8.25862312317,4.47532081604,4.47532081604,4.47532081604,4.47532081604,4.47532081604,2.30632996559,1.97932612896,1.7819378376,1.84804522991,1.84804522991,1.84804522991,1.84804522991,1.84804522991,2.68667626381,2.68667626381,2.68667626381,2.68667626381,2.68667626381,1.20381999016,1.20424246788,1.25947546959,1.08007586002,1.08007586002,1.08007586002,1.08007586002,1.08007586002,normal_breath
-813.075866699,49.2733039856,8.66154289246,-9.18388938904,-10.0985555649,-0.118949912488,-2.21556568146,-5.53664731979,-5.31486845016,-4.6335144043,-4.0048494339,-2.56079006195,-6.47692394257,50.8987503052,50.8987503052,50.8987503052,50.8987503052,50.8987503052,-4.03965044022,-0.547746181488,0.544084608555,0.0747592747211,0.0747592747211,0.0747592747211,0.0747592747211,0.0747592747211,-48.2689094543,-48.2689094543,-48.2689094543,-48.2689094543,-48.2689094543,3.46931552887,0.643786489964,-0.326417058706,-0.333155751228,-0.333155751228,-0.333155751228,-0.333155751228,-0.333155751228,51.487197876,19.3711185455,14.0904960632,12.4904470444,11.4329872131,15.047665596,10.8554782867,10.71941185,8.84980869293,8.38425922394,9.08750915527,8.20247173309,8.22128582001,4.3398475647,4.3398475647,4.3398475647,4.3398475647,4.3398475647,2.24980187416,1.95835065842,1.76758027077,1.76895678043,1.76895678043,1.76895678043,1.76895678043,1.76895678043,2.66786122322,2.66786122322,2.66786122322,2.66786122322,2.66786122322,1.20349252224,1.16255569458,1.2214422226,1.07872307301,1.07872307301,1.07872307301,1.07872307301,1.07872307301,normal_breath
-812.564697266,49.2043037415,8.74824142456,-8.27290439606,-9.34225845337,0.1625341326,-2.28705406189,-5.75807619095,-5.06453514099,-4.72348880768,-3.8369204998,-2.37293100357,-6.35297203064,50.8579521179,50.8579521179,50.8579521179,50.8579521179,50.8579521179,-4.08441114426,-0.617626190186,0.459439605474,0.0380933694541,0.0380933694541,0.0380933694541,0.0380933694541,0.0380933694541,-48.304019928,-48.304019928,-48.304019928,-48.304019928,-48.304019928,3.41546320915,0.655112087727,-0.246128469706,-0.27374458313,-0.27374458313,-0.27374458313,-0.27374458313,-0.27374458313,51.0212860107,19.4888324738,14.0782976151,12.7706956863,11.5365591049,15.1787433624,10.969086647,10.7137985229,9.01253128052,8.35230350494,9.17241954803,8.26753139496,8.30205535889,4.30712413788,4.30712413788,4.30712413788,4.30712413788,4.30712413788,2.23638916016,1.95543086529,1.76584088802,1.76244497299,1.76244497299,1.76244497299,1.76244497299,1.76244497299,2.72738623619,2.72738623619,2.72738623619,2.72738623619,2.72738623619,1.25195884705,1.1793949604,1.27359509468,1.12847948074,1.12847948074,1.12847948074,1.12847948074,1.12847948074,normal_breath
-813.249633789,48.820438385,8.73439788818,-7.92096853256,-8.68460273743,0.259762048721,-2.51199913025,-6.34438180923,-5.15388727188,-4.35318851471,-3.31817126274,-2.02893733978,-5.67515802383,50.8762664795,50.8762664795,50.8762664795,50.8762664795,50.8762664795,-4.08389568329,-0.617494344711,0.463327020407,0.0925085768104,0.0925085768104,0.0925085768104,0.0925085768104,0.0925085768104,-48.4065208435,-48.4065208435,-48.4065208435,-48.4065208435,-48.4065208435,3.39700579643,0.714548766613,-0.15727622807,-0.179392904043,-0.179392904043,-0.179392904043,-0.179392904043,-0.179392904043,51.7099189758,19.7025775909,14.0605697632,12.8487491608,11.2090015411,15.0456132889,11.2139940262,10.855381012,8.55525493622,8.34851074219,9.20664310455,8.39295196533,8.46574497223,4.31364917755,4.31364917755,4.31364917755,4.31364917755,4.31364917755,2.22294068336,1.95874357224,1.76241636276,1.80644714832,1.80644714832,1.80644714832,1.80644714832,1.80644714832,2.80809879303,2.80809879303,2.80809879303,2.80809879303,2.80809879303,1.25325751305,1.19173431396,1.3096357584,1.09688198566,1.09688198566,1.09688198566,1.09688198566,1.09688198566,normal_breath
-811.935119629,48.4759979248,9.5349855423,-6.84367656708,-7.88277196884,1.22151267529,-2.04760956764,-5.93045139313,-5.00145673752,-4.08166646957,-3.18525218964,-1.98439860344,-5.62752342224,50.823589325,50.823589325,50.823589325,50.823589325,50.823589325,-4.1029753685,-0.733071267605,0.332824349403,-0.0170543584973,-0.0170543584973,-0.0170543584973,-0.0170543584973,-0.0170543584973,-48.448223114,-48.448223114,-48.448223114,-48.448223114,-48.448223114,3.29297733307,0.704313933849,-0.137095108628,-0.154827564955,-0.154827564955,-0.154827564955,-0.154827564955,-0.154827564955,51.0171089172,19.9842357635,13.8707838058,12.7626600266,10.9468717575,14.4589862823,10.9982118607,10.6576490402,8.69493484497,8.24299240112,9.47342205048,8.29901218414,8.83611965179,4.29813909531,4.29813909531,4.29813909531,4.29813909531,4.29813909531,2.22231388092,1.94947361946,1.73232865334,1.75007271767,1.75007271767,1.75007271767,1.75007271767,1.75007271767,2.81825947762,2.81825947762,2.81825947762,2.81825947762,2.81825947762,1.26536369324,1.2199498415,1.31979644299,1.12675881386,1.12675881386,1.12675881386,1.12675881386,1.12675881386,normal_breath
-810.549682617,47.5388450623,9.37736225128,-5.89029550552,-7.20660161972,1.43279123306,-2.41534423828,-6.0143828392,-5.11727380753,-4.14992666245,-3.13121080399,-2.16870045662,-5.30753612518,50.7467842102,50.7467842102,50.7467842102,50.7467842102,50.7467842102,-4.09493398666,-0.801362216473,0.22075290978,-0.0462585426867,-0.0462585426867,-0.0462585426867,-0.0462585426867,-0.0462585426867,-48.4497718811,-48.4497718811,-48.4497718811,-48.4497718811,-48.4497718811,3.1923494339,0.712977409363,-0.0604704469442,-0.0779998451471,-0.0779998451471,-0.0779998451471,-0.0779998451471,-0.0779998451471,50.7018089294,20.9670753479,13.9861421585,12.257856369,10.6113557816,14.2686710358,11.0999689102,10.7694540024,8.50089263916,8.16494369507,9.35685253143,8.32596206665,9.07104110718,4.26321744919,4.26321744919,4.26321744919,4.26321744919,4.26321744919,2.22068691254,1.89612829685,1.65353858471,1.72425603867,1.72425603867,1.72425603867,1.72425603867,1.72425603867,2.81648921967,2.81648921967,2.81648921967,2.81648921967,2.81648921967,1.30092704296,1.23158204556,1.28957056999,1.09723556042,1.09723556042,1.09723556042,1.09723556042,1.09723556042,normal_breath
-812.237365723,47.1210212708,9.58618450165,-4.83143472672,-6.77841424942,1.2262121439,-2.67794752121,-6.11048841476,-5.32972621918,-4.53109121323,-3.55648732185,-2.41686487198,-5.1120223999,50.8244018555,50.8244018555,50.8244018555,50.8244018555,50.8244018555,-4.16356515884,-0.935149908066,0.0859609693289,-0.0740227326751,-0.0740227326751,-0.0740227326751,-0.0740227326751,-0.0740227326751,-48.621673584,-48.621673584,-48.621673584,-48.621673584,-48.621673584,3.13004994392,0.728897333145,0.0205250121653,-0.00841971393675,-0.00841971393675,-0.00841971393675,-0.00841971393675,-0.00841971393675,52.1242370605,21.3338832855,13.8893060684,11.457195282,10.614279747,14.2873849869,10.9896411896,10.6813907623,8.61314582825,8.114153862,9.05623435974,8.15148162842,9.18014526367,4.34298801422,4.34298801422,4.34298801422,4.34298801422,4.34298801422,2.17172670364,1.78680109978,1.53468084335,1.69957113266,1.69957113266,1.69957113266,1.69957113266,1.69957113266,2.92797422409,2.92797422409,2.92797422409,2.92797422409,2.92797422409,1.33087933064,1.22231078148,1.29273486137,1.10944616795,1.10944616795,1.10944616795,1.10944616795,1.10944616795,normal_breath
